,TsSymbol,PreClose,TickPrice,TickTime,DiffRange(%)
0,603003,11.55,11.6,2017-12-06 14:59,0.433
1,000001,13.3,13.08,2017-12-06 15:00,-1.654
2,300332,6.43,6.53,2017-12-06 15:00,1.555
3,03188,48.0,48.0,2017-12-06 16:09:00,0.0
4,00700,366.0,366.0,2017-12-06 16:09:00,0.0
5,rb1805,3916.0,3916.0,2017-12-06 15:00:00,0.0
6,Y1805,5996.0,5996.0,2017-12-06 15:00:00,0.0
7,SR1805,6164.0,6164.0,2017-12-06 14:59:59,0.0
8,510300,4.068,4.068,2017-12-06 15:00,0.0
9,159915,1.663,1.663,2017-12-06 15:00,0.0
